---------------------
  #    meV     cm^-1
---------------------
  0    6.9i     55.5i
  1    6.5i     52.5i
  2    2.4i     19.2i
  3    2.3i     18.2i
  4    0.6i      4.9i
  5    0.5i      4.4i
  6    0.4i      3.1i
  7    0.3i      2.2i
  8    0.0i      0.1i
  9    0.0i      0.1i
 10    0.0i      0.0i
300  153.5    1238.3
301  153.5    1238.3
302  154.0    1242.4
303  154.1    1242.8
304  154.1    1243.2
305  154.3    1244.1
306  154.8    1248.3
307  154.8    1248.7
308  157.5    1270.5
309  157.5    1270.6
310  158.0    1274.4
311  158.0    1274.4
312  158.1    1275.5
313  158.2    1275.6
314  158.3    1276.5
315  158.3    1276.6
316  158.6    1279.2
317  158.6    1279.3
318  159.0    1282.5
319  159.1    1283.0
320  159.7    1288.5
321  159.8    1288.8
322  160.1    1291.0
323  160.1    1291.4
324  160.6    1295.2
325  160.7    1295.8
326  160.8    1296.9
327  160.8    1296.9
328  161.1    1299.6
329  161.2    1299.8
330  161.2    1300.2
331  161.2    1300.2
332  161.6    1303.4
333  161.6    1303.6
334  161.7    1304.0
335  161.7    1304.2
336  161.9    1305.9
337  161.9    1306.0
338  162.4    1309.5
339  162.4    1309.7
340  162.4    1310.2
341  162.5    1310.4
342  164.4    1326.2
343  164.5    1326.4
344  165.5    1334.6
345  165.5    1334.6
346  165.8    1337.5
347  165.9    1337.8
348  167.7    1352.4
349  167.7    1353.0
350  172.5    1391.1
351  172.5    1391.2
352  172.7    1392.9
353  172.7    1392.9
354  176.3    1421.6
355  176.3    1421.6
356  177.2    1429.3
357  177.2    1429.4
358  178.7    1441.1
359  178.7    1441.2
360  178.7    1441.4
361  178.7    1441.5
362  179.4    1447.1
363  179.5    1447.5
364  180.0    1452.1
365  180.1    1452.3
366  181.3    1462.0
367  181.3    1462.0
368  181.5    1463.9
369  181.5    1464.0
370  183.2    1478.0
371  183.3    1478.3
372  184.2    1485.9
373  184.3    1486.5
374  187.5    1512.2
375  187.5    1512.3
376  187.7    1513.6
377  187.7    1513.7
378  190.9    1539.5
379  190.9    1539.6
380  218.5    1762.3
381  218.5    1762.5
382  348.7    2812.3
383  348.7    2812.4
384  355.5    2867.4
385  355.5    2867.4
386  358.9    2894.9
387  359.1    2896.7
388  361.9    2918.8
389  361.9    2918.9
390  362.0    2920.1
391  362.1    2920.5
392  363.0    2927.4
393  363.2    2929.6
394  364.7    2941.9
395  364.8    2942.2
396  365.0    2944.1
397  365.1    2945.0
398  367.4    2963.0
399  367.5    2963.9
400  367.7    2965.9
401  367.7    2966.0
402  368.3    2970.3
403  368.4    2971.1
404  368.7    2973.7
405  368.7    2973.9
406  369.7    2982.2
407  369.7    2982.2
408  370.8    2990.9
409  370.9    2991.7
410  371.2    2993.6
411  371.2    2993.7
412  371.4    2995.4
413  371.4    2995.9
414  371.6    2996.8
415  371.7    2998.0
416  372.0    3000.0
417  372.0    3000.1
418  373.9    3015.5
419  373.9    3015.8
420  373.9    3015.9
421  374.0    3016.2
422  375.2    3026.6
423  375.3    3027.2
424  376.9    3040.0
425  376.9    3040.2
426  377.9    3047.8
427  378.0    3048.6
428  378.3    3051.4
429  378.5    3052.4
430  386.8    3120.0
431  386.9    3120.5
432  387.0    3121.8
433  387.1    3122.1
434  389.6    3142.6
435  389.7    3143.1
436  391.5    3157.6
437  391.8    3160.0
438  392.6    3166.2
439  392.8    3168.0
440  394.2    3179.8
441  394.3    3179.8
442  457.5    3690.3
443  457.6    3691.0
---------------------
Zero-point energy: 28.741 eV
