---------------------
  #    meV     cm^-1
---------------------
  0   29.2i    235.4i
302  109.6     883.9
303  109.6     884.3
304  109.8     885.7
305  109.9     886.4
306  111.0     895.0
307  111.1     896.4
308  112.2     904.8
309  112.3     906.0
310  113.5     915.8
311  113.6     916.1
312  114.6     924.5
313  114.7     925.5
314  115.3     929.7
315  115.3     929.8
316  118.6     956.2
317  118.6     956.7
318  121.2     977.5
319  121.2     977.8
320  122.3     986.6
321  122.4     987.1
322  122.8     990.1
323  122.9     991.1
324  123.1     992.7
325  123.1     993.1
326  124.1    1000.7
327  124.1    1001.0
328  124.2    1001.6
329  124.2    1001.7
330  124.8    1006.9
331  124.8    1007.0
332  125.1    1008.8
333  125.1    1009.1
334  125.6    1012.8
335  125.6    1013.3
336  127.0    1024.1
337  127.0    1024.3
338  128.6    1037.6
339  128.7    1037.8
340  131.0    1056.9
341  131.1    1057.3
342  132.4    1067.8
343  132.6    1069.6
344  133.5    1076.6
345  133.8    1079.5
346  134.7    1086.6
347  134.9    1088.0
348  135.5    1093.0
349  135.6    1093.5
350  135.8    1095.5
351  136.0    1096.9
352  136.2    1098.6
353  136.3    1099.1
354  137.1    1106.0
355  137.4    1108.4
356  137.5    1109.2
357  137.7    1110.8
358  138.1    1113.8
359  138.2    1114.6
360  138.8    1119.6
361  138.8    1119.8
362  139.7    1126.4
363  139.7    1126.5
364  140.4    1132.0
365  140.4    1132.4
366  140.7    1134.7
367  140.7    1135.2
368  141.1    1138.2
369  141.1    1138.2
370  143.1    1154.0
371  143.3    1155.4
372  143.9    1160.7
373  144.0    1161.1
374  160.6    1295.4
375  160.6    1295.5
376  160.7    1296.2
377  160.7    1296.2
378  162.7    1312.0
379  162.7    1312.1
380  173.3    1398.0
381  173.3    1398.1
382  348.6    2811.7
383  348.6    2812.0
384  349.9    2822.3
385  349.9    2822.5
386  350.7    2828.4
387  350.7    2828.8
388  352.9    2846.3
389  352.9    2846.4
390  353.4    2850.4
391  353.4    2850.5
392  353.8    2853.8
393  353.9    2854.2
394  355.3    2865.9
395  355.3    2866.0
396  358.1    2887.9
397  358.1    2888.2
398  359.5    2899.3
399  359.6    2900.1
400  359.7    2901.3
401  359.8    2901.7
402  362.3    2922.4
403  362.3    2922.5
404  362.7    2925.7
405  362.9    2927.1
406  363.6    2932.8
407  363.7    2933.5
408  365.9    2951.5
409  365.9    2951.6
410  366.4    2954.8
411  366.4    2954.9
412  366.4    2955.1
413  366.4    2955.1
414  366.5    2956.0
415  366.5    2956.1
416  366.6    2957.2
417  366.7    2957.3
418  367.2    2961.5
419  367.2    2961.6
420  367.3    2962.3
421  367.3    2962.9
422  367.5    2964.0
423  367.5    2964.1
424  368.5    2971.8
425  368.5    2971.9
426  368.7    2973.7
427  368.7    2973.8
428  369.0    2975.8
429  369.0    2975.9
430  375.7    3029.9
431  375.7    3029.9
432  375.9    3032.0
433  375.9    3032.0
434  396.5    3198.2
435  396.5    3198.2
436  396.7    3200.0
437  396.7    3200.0
438  407.5    3286.8
439  407.5    3286.9
440  407.7    3288.1
441  407.7    3288.1
442  410.5    3311.2
443  410.6    3311.6
---------------------
Zero-point energy: 24.203 eV
