---------------------
  #    meV     cm^-1
---------------------
  0    0.5i      4.1i
  1    0.4i      2.9i
  2    0.3i      2.4i
  3    0.0i      0.2i
  4    0.0i      0.1i
  5    0.0i      0.1i
297  178.2    1437.7
298  178.7    1441.1
299  178.7    1441.4
300  179.5    1447.5
301  179.6    1448.7
302  179.9    1451.2
303  180.0    1451.8
304  180.7    1457.2
305  180.8    1457.9
306  180.8    1458.3
307  180.8    1458.6
308  181.8    1466.6
309  182.1    1468.3
310  182.2    1469.6
311  182.3    1470.3
312  183.2    1477.2
313  183.2    1477.4
314  183.8    1482.1
315  183.8    1482.4
316  184.4    1487.5
317  184.5    1487.7
318  185.4    1495.5
319  185.4    1495.6
320  185.6    1497.1
321  185.6    1497.3
322  186.6    1505.1
323  186.6    1505.3
324  186.9    1507.4
325  186.9    1507.7
326  189.5    1528.7
327  189.6    1529.6
328  189.9    1531.7
329  190.0    1532.3
330  192.6    1553.7
331  192.6    1553.8
332  195.2    1574.4
333  195.3    1575.5
334  198.5    1601.1
335  198.5    1601.2
336  199.1    1605.5
337  199.1    1606.1
338  202.8    1636.0
339  202.8    1636.0
340  203.2    1638.9
341  203.3    1639.5
342  203.9    1644.8
343  204.0    1645.7
344  204.3    1647.4
345  204.3    1647.7
346  208.5    1681.9
347  208.5    1682.1
348  209.8    1691.9
349  209.8    1692.1
350  210.5    1697.7
351  210.6    1698.5
352  211.0    1701.6
353  211.0    1702.1
354  212.0    1710.0
355  212.0    1710.2
356  213.0    1718.3
357  213.1    1718.5
358  218.2    1760.2
359  218.3    1760.4
360  222.7    1796.5
361  222.8    1796.9
362  223.5    1802.3
363  223.6    1803.8
364  228.1    1840.0
365  228.2    1840.7
366  229.1    1848.2
367  229.4    1850.1
368  232.2    1872.6
369  232.3    1873.3
370  245.6    1981.2
371  245.7    1981.9
372  247.7    1997.7
373  247.7    1998.0
374  255.3    2059.0
375  255.6    2061.3
376  257.1    2073.3
377  257.1    2073.8
378  257.1    2073.9
379  257.2    2074.3
380  257.9    2080.1
381  258.1    2082.0
382  474.9    3830.7
383  475.1    3831.9
384  507.9    4096.7
385  508.0    4097.1
386  509.5    4109.1
387  509.5    4109.2
388  509.5    4109.2
389  509.5    4109.4
390  510.1    4114.3
391  510.2    4115.0
392  511.2    4122.8
393  511.2    4123.5
394  511.3    4123.6
395  511.3    4123.8
396  511.4    4124.8
397  511.4    4124.8
398  512.3    4132.0
399  512.4    4133.0
400  521.0    4202.4
401  521.2    4203.6
402  521.6    4207.0
403  521.9    4209.1
404  522.9    4217.2
405  522.9    4217.4
406  523.5    4221.9
407  523.5    4222.3
408  523.5    4222.7
409  523.6    4222.7
410  524.6    4230.8
411  524.8    4232.4
412  525.0    4234.4
413  525.1    4235.4
414  525.6    4239.1
415  525.6    4239.2
416  528.3    4260.9
417  528.3    4261.0
418  529.2    4268.3
419  529.3    4268.8
420  529.4    4270.0
421  529.5    4270.8
422  529.5    4271.0
423  529.6    4271.1
424  531.0    4282.8
425  531.1    4283.5
426  531.1    4283.6
427  531.2    4284.5
428  532.3    4293.2
429  532.4    4294.0
430  537.0    4331.5
431  537.1    4332.1
432  537.4    4334.8
433  537.4    4334.8
434  538.0    4339.6
435  538.1    4339.7
436  538.8    4346.1
437  538.9    4346.4
438  539.0    4347.1
439  539.0    4347.4
440  541.5    4367.6
441  541.5    4367.8
442  542.6    4376.1
443  542.7    4376.9
---------------------
Zero-point energy: 37.130 eV
