---------------------
  #    meV     cm^-1
---------------------
  0    4.7i     38.1i
  1    4.5i     36.5i
  2    1.7i     13.5i
  3    1.5i     12.2i
  4    0.5i      4.0i
  5    0.1i      0.8i
  6    0.0i      0.1i
  7    0.0i      0.1i
300  153.5    1237.9
301  153.5    1238.0
302  154.4    1245.5
303  154.5    1246.1
304  154.6    1247.1
305  154.7    1247.8
306  154.9    1249.3
307  154.9    1249.4
308  157.6    1271.4
309  157.6    1271.5
310  157.7    1271.7
311  157.7    1271.8
312  158.1    1275.3
313  158.1    1275.4
314  158.2    1275.8
315  158.2    1276.1
316  159.0    1282.4
317  159.0    1282.8
318  159.8    1288.7
319  159.8    1288.8
320  159.9    1289.3
321  159.9    1289.8
322  160.4    1294.1
323  160.5    1294.2
324  160.5    1294.7
325  160.5    1294.8
326  160.7    1296.4
327  160.8    1296.7
328  160.9    1297.6
329  160.9    1297.8
330  160.9    1298.0
331  161.0    1298.2
332  161.5    1302.5
333  161.6    1303.1
334  161.9    1305.8
335  161.9    1305.9
336  162.1    1307.4
337  162.1    1307.5
338  162.4    1309.6
339  162.4    1310.0
340  162.6    1311.5
341  162.6    1311.5
342  164.5    1326.6
343  164.5    1326.7
344  165.2    1332.5
345  165.2    1332.6
346  166.0    1338.9
347  166.0    1339.0
348  167.6    1351.6
349  167.6    1352.1
350  172.4    1390.2
351  172.4    1390.2
352  172.5    1391.7
353  172.6    1391.7
354  176.0    1419.4
355  176.0    1419.5
356  177.0    1427.5
357  177.0    1427.6
358  178.4    1438.7
359  178.4    1438.8
360  178.5    1439.9
361  178.5    1440.0
362  179.3    1446.4
363  179.4    1446.9
364  179.9    1450.8
365  179.9    1451.0
366  181.1    1461.0
367  181.1    1461.1
368  181.4    1463.2
369  181.4    1463.2
370  182.9    1475.6
371  183.3    1478.3
372  183.9    1483.5
373  185.1    1492.9
374  187.2    1510.2
375  187.2    1510.3
376  187.3    1510.8
377  187.3    1510.8
378  190.5    1536.4
379  190.5    1536.4
380  218.4    1761.6
381  218.4    1761.6
382  350.0    2823.1
383  350.1    2823.4
384  356.2    2872.8
385  356.2    2872.8
386  359.9    2902.7
387  360.1    2904.8
388  360.7    2909.1
389  360.7    2909.2
390  362.4    2922.9
391  362.5    2923.5
392  362.9    2927.0
393  363.0    2927.8
394  363.3    2930.0
395  363.5    2931.7
396  364.9    2943.0
397  365.0    2943.7
398  367.4    2963.5
399  367.5    2964.1
400  368.1    2968.9
401  368.1    2969.0
402  368.3    2970.1
403  368.3    2970.2
404  369.0    2975.9
405  369.0    2975.9
406  369.1    2976.9
407  369.2    2977.9
408  370.4    2987.2
409  370.5    2988.3
410  370.8    2991.1
411  370.9    2991.2
412  371.0    2992.4
413  371.1    2993.0
414  371.4    2995.9
415  371.5    2996.6
416  371.8    2998.6
417  371.8    2998.7
418  373.0    3008.6
419  373.1    3009.5
420  374.1    3017.6
421  374.2    3018.2
422  375.1    3025.3
423  375.1    3025.4
424  376.9    3039.6
425  376.9    3039.8
426  377.9    3048.4
427  378.0    3048.5
428  379.1    3057.9
429  379.2    3058.5
430  386.9    3120.9
431  387.0    3121.2
432  387.6    3125.8
433  387.6    3126.2
434  388.6    3134.3
435  388.7    3134.9
436  391.4    3156.9
437  391.5    3157.4
438  392.0    3161.4
439  392.1    3162.4
440  392.4    3164.9
441  392.5    3166.1
442  459.4    3705.7
443  459.5    3706.3
---------------------
Zero-point energy: 28.748 eV
