-------------------------------------
 Mode    Frequency        Intensity
  #    meV     cm^-1   (D/Å)^2 amu^-1
-------------------------------------
  0   45.9i    370.5i     0.0443
  1   44.3i    357.2i     0.0514
  2   37.6i    303.5i     0.0602
  3   36.2i    291.6i     0.0449
  4   33.4i    269.6i     0.0843
  5   30.0i    242.1i     0.0034
  6   29.7i    239.3i     0.2220
  7   28.6i    230.3i     0.0130
  8   27.9i    225.1i     0.0683
  9   27.5i    221.7i     0.0206
 10   27.3i    220.6i     0.0068
 11   25.5i    205.4i     0.0167
 12   24.0i    193.5i     0.0457
 13   23.5i    189.2i     0.0218
 14   23.2i    187.0i     0.0905
 15   21.8i    176.0i     0.0136
 16   21.5i    173.3i     0.0561
 17   20.5i    165.2i     0.0027
 18   19.8i    160.0i     0.0512
 19   18.1i    145.9i     0.0200
 20   17.8i    143.2i     0.0142
 21   16.8i    135.8i     0.0699
 22   15.9i    128.4i     0.0088
 23   15.7i    126.4i     0.0341
 24   15.4i    124.1i     0.0333
 25   14.8i    119.4i     0.0080
 26   14.3i    115.3i     0.1342
 27   13.9i    112.1i     0.0342
 28   13.4i    107.7i     0.0136
 29   11.9i     95.9i     0.0190
 30   11.2i     90.2i     0.0256
 31    9.8i     79.2i     0.0215
 32    8.8i     70.8i     0.0081
 33    6.4i     51.3i     0.0101
 34    0.3i      2.5i     0.0099
 35    3.3      26.4      0.0250
 36    6.1      49.6      0.0158
 37    7.6      61.4      0.0048
 38    8.1      65.1      0.0367
 39    8.7      70.0      0.0229
 40   10.0      80.5      0.0638
 41   11.0      88.5      0.0552
 42   12.1      97.5      0.0115
 43   12.4     100.2      0.1619
 44   12.5     101.1      0.0785
 45   13.6     109.6      0.0059
 46   13.8     111.5      0.0158
 47   15.1     122.0      0.0299
 48   15.6     126.1      0.0424
 49   16.8     135.1      0.0089
 50   17.3     139.2      0.0232
 51   18.0     145.2      0.0567
 52   18.2     146.6      0.0602
 53   18.9     152.1      0.0177
 54   19.5     157.3      0.0051
 55   19.8     160.1      0.0237
 56   20.2     162.6      0.0046
 57   20.5     165.6      0.0060
 58   20.7     167.1      0.0442
 59   21.1     170.2      0.0927
 60   21.8     176.0      0.0286
 61   21.9     176.5      0.0305
 62   22.2     179.2      0.0561
 63   22.4     180.9      0.0092
 64   23.7     191.3      0.0292
 65   23.7     191.5      0.0157
 66   24.3     196.3      0.0091
 67   24.6     198.8      0.0741
 68   25.0     201.8      0.0809
 69   25.3     204.1      0.0048
 70   25.5     206.0      0.2559
 71   26.0     209.4      0.0039
 72   26.2     211.7      0.0461
 73   27.2     219.7      0.0240
 74   27.4     221.3      0.0114
 75   27.9     225.2      0.0939
 76   28.1     226.8      0.0658
 77   28.2     227.8      0.0131
 78   28.5     229.6      0.0113
 79   29.2     235.8      0.0131
 80   30.2     243.4      0.0267
 81   30.9     249.5      0.1706
 82   31.5     254.3      0.0527
 83   32.3     260.8      0.0511
 84   32.6     263.0      0.0736
 85   33.6     271.3      0.0649
 86   35.1     282.8      0.0429
 87   35.5     286.2      0.4696
 88   35.8     288.9      0.0104
 89   36.7     296.1      0.0443
 90   37.2     300.1      0.0533
 91   37.3     301.0      0.0067
 92   37.7     304.1      0.1124
 93   38.0     306.7      0.0608
 94   38.4     309.5      0.0391
 95   39.1     315.6      0.2331
 96   39.4     317.6      0.0200
 97   39.9     321.5      0.1207
 98   40.1     323.6      0.2213
 99   40.8     329.4      0.1454
100   40.9     330.0      0.0706
101   41.5     334.6      0.0599
102   42.1     339.3      0.0102
103   42.8     345.0      0.2494
